Activity Date,Activity Name,Activity Type,Elapsed Time (Seconds),Distance (Kilometers)
"May 28, 2025, 10:24:09 PM",walk w/ fig,Walk,854,1.1
"May 29, 2025, 7:12:43 PM",Afternoon Walk,Walk,4312,3.19
"May 31, 2025, 5:48:59 PM",Lunch Walk,Walk,3179,3.04
"Jun 4, 2025, 2:16:09 AM",Evening Walk,Walk,722,1.02
"Jun 4, 2025, 10:02:14 PM",Afternoon Walk,Walk,1682,2.24
"Jun 9, 2025, 2:37:32 AM",Evening Walk,Walk,4225,2.59
"Jun 10, 2025, 4:53:55 PM",Morning Run,Run,1210,3.23
"Jun 10, 2025, 6:44:38 PM",Lunch Walk,Walk,3185,3.45
"Jun 18, 2025, 2:46:34 AM",Evening Run,Run,2600,5.1
"Jun 19, 2025, 7:34:11 PM",Afternoon Run,Run,1548,3.22
"Jun 19, 2025, 8:00:28 PM",Afternoon Walk,Walk,1681,1.18
"Jun 21, 2025, 12:35:45 AM",Evening Walk,Walk,2956,3.8
"Jun 21, 2025, 2:17:16 AM",Evening Run,Run,1911,4.85
"Jun 23, 2025, 7:32:50 PM",Lunch Walk,Walk,1330,1.6
"Jun 24, 2025, 2:14:44 AM",Evening Run,Run,1359,3.23
"Jun 24, 2025, 6:30:35 PM",Lunch Walk,Walk,1840,1.66
"Jun 25, 2025, 7:10:03 PM",Lunch Walk,Walk,1365,0.92
"Jun 30, 2025, 12:45:44 AM",Evening Run,Run,1871,4.84
"Jun 30, 2025, 1:17:15 AM",Evening Walk,Walk,2302,2.81
"Jul 5, 2025, 5:45:56 PM",Lunch Walk,Walk,3047,3.85
"Jul 6, 2025, 12:21:34 AM",Evening Walk,Walk,2337,2.29
"Jul 7, 2025, 12:08:21 AM",Afternoon Run,Run,1380,3.23
"Jul 9, 2025, 1:18:20 AM",Evening Walk,Walk,6633,9.8
"Jul 10, 2025, 2:13:48 AM",Evening Walk,Walk,3998,5.11
"Jul 11, 2025, 2:57:01 AM",Evening Run,Run,2048,5.48
"Jul 15, 2025, 12:37:04 AM",Afternoon Run,Run,722,1.63
"Jul 15, 2025, 1:00:23 AM",Evening Walk,Walk,2043,2.16
"Jul 16, 2025, 12:59:51 AM",Evening Run,Run,3289,8.41
"Jul 19, 2025, 6:21:02 PM",Lunch Run,Run,1121,3.23
"Jul 20, 2025, 7:46:44 PM",Afternoon Walk,Walk,2845,3.6
"Jul 24, 2025, 2:38:18 AM",Evening Walk,Walk,2699,3.06
"Jul 26, 2025, 10:41:16 PM",Afternoon Walk,Walk,1668,1.19
"Jul 26, 2025, 9:27:04 PM",Afternoon Walk,Walk,2306,0.96
"Jul 30, 2025, 12:49:16 AM",Evening Run,Run,1921,4.57
"Aug 1, 2025, 12:54:56 AM",Evening Walk,Walk,3483,4.21
"Aug 3, 2025, 1:24:37 AM",Evening Walk,Walk,2535,2.92
"Aug 8, 2025, 6:36:57 PM",Disney Walk,Walk,3001,1.54
"Aug 9, 2025, 3:24:14 PM",Morning Run,Run,1191,2.82
"Aug 9, 2025, 3:44:09 PM",Morning Walk,Walk,4828,4.36
"Aug 10, 2025, 4:08:12 PM",Morning Run,Run,2729,5.69
"Aug 10, 2025, 5:00:46 PM",Morning Walk,Walk,1278,1.61
"Aug 17, 2025, 1:10:11 AM",Evening Walk,Walk,7824,3.53
"Aug 17, 2025, 9:39:12 PM",Afternoon Hike,Hike,5030,1.4
"Aug 20, 2025, 12:26:06 AM",Afternoon Run,Run,1953,4.83
"Aug 22, 2025, 12:34:55 AM",Afternoon Run,Run,1064,2.63
"Aug 26, 2025, 12:25:47 AM",Evening Walk,Walk,2529,3.33
"Aug 29, 2025, 1:21:23 AM",Evening Run,Run,1986,5.05
"Aug 30, 2025, 8:39:22 PM",Afternoon Walk,Walk,7094,1.72
"Aug 31, 2025, 12:55:12 AM",Evening Run,Run,4853,11.3
"Sep 6, 2025, 11:35:20 PM",Afternoon Walk,Walk,2727,3.13
"Sep 7, 2025, 5:53:30 PM",Afternoon Run,Run,279,0.74
"Sep 8, 2025, 9:51:30 PM",Afternoon Run,Run,2566,5.23
"Sep 8, 2025, 11:36:01 PM",Afternoon Walk,Walk,4516,5.03
"Sep 9, 2025, 10:30:38 PM",Afternoon Walk,Walk,2576,2.07
"Sep 10, 2025, 5:36:39 PM",Lunch Run,Run,2031,4.83
"Sep 11, 2025, 7:53:42 PM",Afternoon Hike,Hike,5071,6.67
"Sep 14, 2025, 6:58:10 PM",Afternoon Run,Run,4283,9.66
"Sep 17, 2025, 12:08:48 AM",Afternoon Run,Run,1811,4.83
